subject_label,image_outlier_percentage,contrast_name
577 (vif=2),0.22061541763889828,Q02_v_baseline
579 (vif=7),12.941976157634684,Q02_v_baseline
581 (vif=4),3.805715330585247,Q02_v_baseline
582 (vif=5),3.8951540134118274,Q02_v_baseline
583 (vif=5),2.4498248989342883,Q02_v_baseline
584 (vif=7),5.752298574148643,Q02_v_baseline
585 (vif=8),3.1379064988134466,Q02_v_baseline
586 (vif=4),2.2001915975338773,Q02_v_baseline
587 (vif=5),3.0953734363136953,Q02_v_baseline
588 (vif=2),1.229086254665718,Q02_v_baseline
589 (vif=8),1.8253441401762538,Q02_v_baseline
590 (vif=4),0.7624150829394719,Q02_v_baseline
591 (vif=3),1.2728118329364906,Q02_v_baseline
592 (vif=6),10.058075518048726,Q02_v_baseline
593 (vif=6),2.975326848697574,Q02_v_baseline
594 (vif=8),2.8385850402871577,Q02_v_baseline
595 (vif=7),3.071920626150281,Q02_v_baseline
596 (vif=6),7.2238630355886455,Q02_v_baseline
597 (vif=8),14.038693161717063,Q02_v_baseline
598 (vif=7),7.460378663507825,Q02_v_baseline
601 (vif=2),1.9247204544280099,Q02_v_baseline
602 (vif=4),1.9104102651757568,Q02_v_baseline
604 (vif=6),2.826659882576947,Q02_v_baseline
605 (vif=2),0.2738811220778395,Q02_v_baseline
606 (vif=6),1.443739093449511,Q02_v_baseline
607 (vif=4),1.2322662967217741,Q02_v_baseline
608 (vif=5),10.088683422838267,Q02_v_baseline
609 (vif=3),3.9814126541823516,Q02_v_baseline
610 (vif=3),0.28858881658709934,Q02_v_baseline
611 (vif=7),4.753765368546999,Q02_v_baseline
612 (vif=2),2.259022375570917,Q02_v_baseline
613 (vif=6),5.9919942441238785,Q02_v_baseline
614 (vif=3),2.710190842273889,Q02_v_baseline
616 (vif=6),2.447439867392246,Q02_v_baseline
617 (vif=7),3.672948574744901,Q02_v_baseline
619 (vif=2),0.548557254669693,Q02_v_baseline
621 (vif=5),1.3809332628424011,Q02_v_baseline
622 (vif=3),0.5505447809547281,Q02_v_baseline
624 (vif=8),3.9122467394631295,Q02_v_baseline
626 (vif=5),5.716125595761004,Q02_v_baseline
627 (vif=4),4.8754019771911485,Q02_v_baseline
628 (vif=7),4.4858468253242645,Q02_v_baseline
629 (vif=4),2.0344319053619486,Q02_v_baseline
631 (vif=4),2.9212661337446186,Q02_v_baseline
633 (vif=6),5.009361248802516,Q02_v_baseline
634 (vif=8),3.701568953249407,Q02_v_baseline
635 (vif=5),5.216063982446168,Q02_v_baseline
636 (vif=5),10.689711371432887,Q02_v_baseline
637 (vif=2),0.5565073598098335,Q02_v_baseline
638 (vif=5),7.803823205561893,Q02_v_baseline
641 (vif=5),1.6727021214855566,Q02_v_baseline
642 (vif=2),0.63044333761314,Q02_v_baseline
643 (vif=6),3.2484129602613994,Q02_v_baseline
645 (vif=7),3.3302990432048465,Q02_v_baseline
646 (vif=8),4.122924525676852,Q02_v_baseline
647 (vif=6),2.7320536314092756,Q02_v_baseline
648 (vif=2),0.5835377172863111,Q02_v_baseline
061 (vif=39),38.8281358694572,Q03_v_baseline
130 (vif=3),6.029058096317055,Q03_v_baseline
172 (vif=4),0.8009858287122612,Q03_v_baseline
192 (vif=6),5.381909248106851,Q03_v_baseline
234 (vif=5),5.055154731381552,Q03_v_baseline
251 (vif=4),9.547433068988134,Q03_v_baseline
358 (vif=2),0.49927454137101746,Q03_v_baseline
373 (vif=2),4.07131357700793,Q03_v_baseline
445 (vif=3),3.2464770536441874,Q03_v_baseline
465 (vif=4),2.984914435632938,Q03_v_baseline
483 (vif=34),24.17625663347445,Q03_v_baseline
491 (vif=37),24.073301134895555,Q03_v_baseline
